method,Term,Adjusted P-value,Genes
Stage1_DE,Interferon Gamma Response,1.014465583431275e-07,NFKBIA;CD74;C1S;HLA-B;SSPN;TAP1;HLA-A;UPP1;SOD2;B2M;PSMB9
Stage1_DE,Epithelial Mesenchymal Transition,1.014465583431275e-07,SFRP1;SERPINE2;CALD1;TPM2;SERPINH1;FN1;CALU;PLAUR;TIMP3;VIM;CD44
Stage1_DE,TNF-alpha Signaling via NF-kB,7.427284149470672e-06,NFKBIA;MYC;SPHK1;PLAUR;TAP1;KLF4;SOD2;PHLDA1;CD44
Stage1_DE,Myc Targets V1,7.427284149470672e-06,EEF1B2;MYC;RPS6;SERBP1;RPS3;DDX21;NAP1L1;PABPC1;RPS2
Stage1_DE,Allograft Rejection,6.040130981122118e-05,CD74;RPS19;TAP1;HLA-DRA;HLA-A;B2M;EIF3A;HLA-E
Stage1_DE,Interferon Alpha Response,6.279671856237739e-05,CD74;C1S;TAP1;NCOA7;B2M;PSMB9
Stage1_DE,Apoptosis,9.622812917079022e-05,ANXA1;CAV1;LMNA;TAP1;TIMP3;SOD2;CD44
Stage1_DE,Myogenesis,0.0023098025476469,PRNP;SVIL;TPM2;SPHK1;SSPN;CRYAB
Stage2_Geneformer,Estrogen Response Early,0.0167319843085641,TFAP2C;MYC;STC2;INHBB;KLF4;CD44
Stage2_Geneformer,Epithelial Mesenchymal Transition,0.0365620359361196,SPARC;SERPINE2;PRRX1;VIM;CD44
Stage2_Geneformer,KRAS Signaling Up,0.0365620359361196,ALDH1A3;PRRX1;SOX9;KLF4;TRIB2
Stage2_Geneformer,Estrogen Response Late,0.1192839260610564,TFAP2C;GAL;KLF4;CD44
Stage2_Geneformer,Allograft Rejection,0.1192839260610564,IFNAR2;CDKN2A;INHBB;HLA-E
Stage2_Geneformer,TGF-beta Signaling,0.160889246188175,ID1;ID3
Stage2_Geneformer,Myc Targets V2,0.160889246188175,CBX3;MYC
Stage2_Geneformer,IL-6/JAK/STAT3 Signaling,0.1735990157722792,OSMR;CD44
