program,subtype,n,spearman_r,spearman_p,csc_high_minus_low,mw_p
MHC-I antigen presentation,ALL,24489,0.257,0.0,,
MHC-I antigen presentation,ER+,11878,0.003,0.7079095414967498,0.013,0.8946679995758726
MHC-I antigen presentation,TNBC,10836,0.353,0.0,0.6,6.364839538863229e-245
MHC-I antigen presentation,HER2+,1775,0.241,7.157749634455355e-25,0.256,1.0398142180933088e-21
CD47 ('don't eat me'),ALL,24489,0.091,2.2843990121527465e-46,,
CD47 ('don't eat me'),ER+,11878,-0.051,2.6797549982181654e-08,-0.091,3.23186299056033e-07
CD47 ('don't eat me'),TNBC,10836,0.23,1.1925780632289343e-129,0.332,0.0
CD47 ('don't eat me'),HER2+,1775,0.111,2.5299952016564583e-06,0.091,4.935147899232106e-06
HLA-E (NKG2A),ALL,24489,0.241,0.0,,
HLA-E (NKG2A),ER+,11878,0.094,7.99485057283128e-25,0.157,2.016438914271637e-22
HLA-E (NKG2A),TNBC,10836,0.267,5.603593013464295e-176,0.626,0.0
HLA-E (NKG2A),HER2+,1775,0.236,7.430967588633837e-24,0.286,6.959792357934884e-22
CD274 (PD-L1),ALL,24489,0.064,7.34940514672363e-24,,
CD274 (PD-L1),ER+,11878,0.008,0.41150271472336997,0.001,0.18244123458862305
CD274 (PD-L1),TNBC,10836,0.066,8.795426154469035e-12,0.011,2.941267007727788e-09
CD274 (PD-L1),HER2+,1775,-0.013,0.5865089624754537,-0.001,0.7076794505119324
